Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
49,Male,PhD,Divorced,72799.0,688.0,45713.0,Business,Unemployed,19,Poor,0.1543,120228.0,0.0,Port Elizabeth,AS,Cyprus,2.0,2,Low
21,Non-binary,Master's,Single,55687.0,600.0,36623.0,Home,Employed,8,Fair,0.3624,180700.0,3.0,South Scott,OK,Luxembourg,3.0,2,Medium
59,Male,Bachelor's,Single,26508.0,622.0,26541.0,Personal,Unemployed,2,Excellent,0.455,157319.0,3.0,Robinhaven,PR,Uganda,4.0,2,Medium
42,Non-binary,Master's,Single,116212.0,707.0,24771.0,Home,Employed,11,Excellent,0.1141,212198.0,3.0,Matthewborough,NH,French Guiana,0.0,2,Medium
55,Male,High School,Married,70978.0,706.0,36970.0,Personal,Unemployed,19,Excellent,0.2669,54041.0,3.0,Christophermouth,MO,Tonga,1.0,0,Medium
56,Non-binary,PhD,Married,21084.0,702.0,22039.0,Personal,Employed,19,Fair,0.231,226053.0,2.0,East James,MP,Isle of Man,0.0,2,Medium
41,Male,PhD,Married,93133.0,791.0,14052.0,Business,Employed,13,Poor,0.2829,82774.0,0.0,Lewisland,AZ,South Georgia and the South Sandwich Islands,1.0,0,Low
48,Non-binary,PhD,Married,46408.0,632.0,48403.0,Personal,Unemployed,16,Excellent,0.1853,93647.0,3.0,South Jason,KS,Guyana,1.0,0,Low
47,Female,High School,Single,33065.0,783.0,6895.0,Auto,Self-employed,2,Fair,0.1167,158428.0,3.0,West Sharon,AL,Seychelles,2.0,0,Low
21,Male,Bachelor's,Widowed,73952.0,631.0,49525.0,Auto,Unemployed,3,Excellent,0.1436,32912.0,0.0,West Denisebury,KY,French Guiana,1.0,2,Low
65,Male,PhD,Widowed,77146.0,796.0,38386.0,Business,Self-employed,17,Fair,0.3232,262145.0,0.0,Johnsonside,LA,Vietnam,4.0,1,Medium
39,Non-binary,PhD,Single,93509.0,703.0,16651.0,Auto,Unemployed,5,Fair,0.5286,270036.0,0.0,North Joshuaborough,MI,Falkland Islands (Malvinas),0.0,0,Medium
36,Male,Bachelor's,Divorced,29868.0,635.0,12521.0,Auto,Employed,17,Excellent,0.3505,240325.0,2.0,Wendyshire,ND,Dominica,4.0,0,Low
